Date,Month,Day,Event Name,Description,Category
03,JAN,Sat,Monthly Mug,"The first prestigious cup of the new year.",GOLF
07,JAN,Wed,East Toyota Sponsor Day,"Mid-week tournament sponsored by East Toyota.",SPONSOR
31,JAN,Sat,Ryder Cup,"The ultimate team challenge at MCC.",MAJOR
04,FEB,Wed,East Toyota Sponsor Day,"Mid-week tournament sponsored by East Toyota.",SPONSOR
07,FEB,Sat,Monthly Mug,"Standard club competition.",GOLF
14,FEB,Sat,Valentines Day Dinner,"Live music and a special menu for couples on the deck.",SOCIAL
04,MAR,Wed,East Toyota Sponsor Day,"Sponsor tournament.",SPONSOR
07,MAR,Sat,Monthly Mug,"Monthly ranking tournament.",GOLF
28,MAR,Sat,Sugar Tots Golf Day,"A fun community golf day for a good cause.",COMMUNITY
01,APR,Wed,East Toyota Sponsor Day,"Sponsor tournament.",SPONSOR
03-06,APR,Fri-Mon,Easter Weekend,"Family activities and special lunches throughout the weekend.",SOCIAL
02,MAY,Sat,NG Kerk Golf Day,"Community fundraiser golf event.",COMMUNITY
13,MAY,Wed,East Toyota Sponsor Day,"Sponsor tournament.",SPONSOR
16,MAY,Sat,MPS Golf Day,"Mtunzini Primary School fundraiser.",COMMUNITY
17,MAY,Sun,RITS Tournament,"Special invitational tournament.",GOLF
10,JUN,Wed,East Toyota Sponsor Day,"Sponsor tournament.",SPONSOR
13,JUN,Sat,St Catherines Golf Day,"Annual fundraiser day.",COMMUNITY
20,JUN,Sat,Monthly Mug,"Pre-Championships warmup.",GOLF
26,JUN,Fri,Night Golf,"Glow-in-the-dark golf followed by late-night braai.",SOCIAL
27-28,JUN,Sat-Sun,Club Championships,"The pinnacle of the MCC golfing year. Two days of stroke play.",MAJOR
01,JUL,Wed,East Toyota Sponsor Day,"Sponsor tournament.",SPONSOR
04,JUL,Sat,Monthly Mug,"Post-championship cup.",GOLF
11,JUL,Sat,Carike 40th Invitational,"Private function & golf.",PRIVATE
12,JUL,Sun,SAGES,"Senior golf association gathering.",GOLF
19,JUL,Sun,LIV Golf 8AM,"Morning shotgun start.",GOLF
25,JUL,Sat,Toti Golf Tour Louis,"Visiting tour from Amanzimtoti.",TOUR
29,JUL,Wed,East Toyota Sponsor Day,"Sponsor tournament.",SPONSOR
01,AUG,Sat,Monthly Mug,"August ranking tournament.",GOLF
05,AUG,Wed,East Toyota Sponsor Day,"Sponsor tournament.",SPONSOR
08,AUG,Sat,MPPS Golf Challenge,"Annual challenge event.",GOLF
22,AUG,Sat,LEAF Golf Day,"Environmental awareness fundraiser.",COMMUNITY
28,AUG,Fri,PMB College Old Boys,"Invitational event for old boys.",SOCIAL
29,AUG,Sat,Pentathlon,"Multisport club challenge.",MAJOR
02,SEP,Wed,East Toyota Sponsor Day,"Sponsor tournament.",SPONSOR
05,SEP,Sat,Tennis Golf Day,"Joint event for golfers and tennis players.",GOLF
12,SEP,Sat,Lavender Lane Golf Day,"Community fundraiser.",COMMUNITY
17,SEP,Thu,Nicolien Golf Day,"Invitational tournament.",PRIVATE
19,SEP,Sat,Tapanga Cup,"Regional invitational challenge.",MAJOR
26,SEP,Sat,Monthly Mug,"September ranking tournament.",GOLF
03,OCT,Sat,MPPS Challenge,"Invitational school fundraiser.",COMMUNITY
07,OCT,Wed,East Toyota Sponsor Day,"Sponsor tournament.",SPONSOR
10,OCT,Sat,Monthly Mug / CPF Day,"Ranking cup & Community Policing fundraiser.",MAJOR
17,OCT,Sat,Mondi Golf Day,"Corporate tournament.",SPONSOR
24,OCT,Sat,BEERFEST,"Zululand's biggest party. Live music, local brews, and festival food.",SOCIAL
31/01,NOV,Sat/Sun,Monthly Mug,"End-of-season ranking.",GOLF
04,NOV,Wed,East Toyota Sponsor Day,"Sponsor tournament.",SPONSOR
21,NOV,Sat,Ladies Golf Day,"Celebrating the women of MCC.",GOLF
28,NOV,Sat,Squash Golf Day,"A fun cross-sport event.",SOCIAL
05,DEC,Sat,Greenkeepers Challenge,"The wildest golf day of the year. Secret hazards everywhere!",MAJOR
12,DEC,Sat,Boere vs Souties,"The traditional local rivalry clash.",MAJOR
15,DEC,Tue,Klip In Die Bos,"Year-end social tournament.",SOCIAL
19,DEC,Sat,Christmas Cheer,"The final club event of the year. Gifts, golf, and family dinner.",MAJOR
